Инструкция;РЗА;Объект;Дата ввода в действие;Дата пересмотра;ЦДС;ОДС;ПС 330;ВГЭС;ВГРЭС;ВСРЭС;БРЭС;ШРЭС;РРЭС;ЛРЭС;ГРЭС
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 и Т2;АРН Т1и Т2;110кВ КСМ;18.05.2020;18.05.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации и схема;Электромагнитной блокировки;110кВ КСМ;28.12.2020;28.12.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации и схема РЗА;ЩСН;110кВ КСМ;10.11.2021;10.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ щита собственных нужд ПС 110/10кВ;СВ-0,4кВ, АВР-0,4кВ;110кВ КСМ;10.11.2021;10.11.2025;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗА трансформаторов Т-1 и Т-2;Т1, Т-2, автоматика обдува Т1, Т-2;110кВ КСМ;20.04.2020;20.04.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройства регулирования напряжения Т-1,Т-2;АРН Т-1;110кВ КСМ;18.05.2020;18.05.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ КСМ;12.10.2020;12.10.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств РЗАИ ВВ-10 кВ отходящих линий, РЗН-10кВ, аппаратуры ТН-10кВ(с АЧР), ЗДЗ, оперблокировки;Отходящие линии 1-4с 10кВ, ТН-10кВ 1-4с, СВВ-10кВ №1-4, АЧР 1-4с, ЗДЗ 1-4с, оперблокировка 1-4с;110кВ КСМ;08.12.2020;08.12.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации оперативной блокировки разъединителей ПС 110/10кВ;ОБР;110кВ КСМ;28.12.2020;28.12.2024;0;1;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации устройств релейной защиты, автоматики, управления и сигнализации СВВ-10кВ;СВВ-10кВ;110кВ Лиозно;04.11.2021;04.11.2025;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств определения места повреждения в сети 110кВ;ФИП-110 кВ,ПУМА1100;110кВ Лиозно;21.02.2022;21.02.2026;1;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ СМВ-35 кВ;СМВ-35 кВ;110кВ Лиозно;31.05.2018;17.05.2026;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации системы оперативного постоянного тока;ЩПТ,постоянного опертока;110кВ Лиозно;01.06.2018;27.05.2026;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗА отходящих линий 10кВ;Отходящих линий 10 кВ;110кВ Лиозно;05.03.2019;05.03.2023;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации атоматической частотной разгрузки (АЧР ЧАПВ) и дополнительной аварийной разгрузки по напряжению (ДАРН с АПВ ДАРН);АЧР, ДАРН;110кВ Лиозно;05.03.2019;05.03.2023;1;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ ЩСН;ЩСН;110кВ Лиозно;24.07.2019;24.07.2023;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ отходящих линий 10кВ;ВЛ-10кВ;110кВ Лиозно;01.10.2020;01.10.2024;0;0;0;0;0;0;0;0;0;0;0
Инструкция по эксплуатации центральной сигнализации;Центральной сигнализации;110кВ Лиозно;06.10.2020;06.10.2024;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств РЗАИ трансформатора Т1;Т1;110кВ Лиозно;21.10.2020;21.10.2024;0;1;0;0;0;0;0;0;0;1;0
Инструкция по эксплуатации устройств регулирования напряжения трансформаторов Т1 Т2;АРН Т1 Т2;110кВ Лиозно;05.01.2017;17.12.2024;0;1;0;0;0;0;0;0;0;1;0
